Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
31,1670834319483,12/12/2022 08:38:39,1670834319509,1,12/12/2022 09:38:39,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,42,1,1,Text,advancementZone,continue_button,100596.59999999986,,,,,0,1,0,,,,6,,BotoxText,,,,,,
32,1670834438932,12/12/2022 08:40:38,1670834438943,1,12/12/2022 09:40:38,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,43,1,1,Diagramming,DiagBox3,response_text_area,119393.1000000001,,,het wordt ook gebruikt om mensen die hard knipperen te helpen ,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
33,1670834439136,12/12/2022 08:40:39,1670834438945,1,12/12/2022 09:40:38,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,43,1,1,Diagramming,DiagBox4,response_text_area,119393.1000000001,,,het wordt ook in de plastic surgery gebruikt om mensen iets jonger te laten lijken,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
34,1670834439136,12/12/2022 08:40:39,1670834438946,1,12/12/2022 09:40:38,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,43,1,1,Diagramming,DiagBox2,response_text_area,119393.1000000001,,,dit zorgt er voor dat dingen zoals rimpels verdwijnen,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
35,1670834439136,12/12/2022 08:40:39,1670834438946,1,12/12/2022 09:40:38,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,43,1,1,Diagramming,DiagBox1,response_text_area,119393.1000000001,,,de spieren stoppen met samentrekken,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
36,1670834439136,12/12/2022 08:40:39,1670834438946,1,12/12/2022 09:40:38,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,43,1,1,Diagramming,Zone1,continue_button,119393.1000000001,,,,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
37,1670834461106,12/12/2022 08:41:01,1670834461119,1,12/12/2022 09:41:01,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,44,1,1,DiagramStudy,Zone1,continue_button,22075.600000000093,,,,,0,1,0,,,,6,,BotoxDiagramStudy,,,,,,
38,1670834464171,12/12/2022 08:41:04,1670834464168,1,12/12/2022 09:41:04,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,45,1,1,RestudyDecision,Selection1,response_dropdown,3049.9749999999767,,,Ja,,0,1,0,,,,6,,RestudyDecisionText3,,,,,,
39,1670834464247,12/12/2022 08:41:04,1670834464169,1,12/12/2022 09:41:04,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,45,1,1,RestudyDecision,script,force_advance,3049.9749999999767,,,,,0,1,0,,,,6,,RestudyDecisionText3,,,,,,
40,1670834465175,12/12/2022 08:41:05,1670834465173,1,12/12/2022 09:41:05,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,46,1,1,JoL,Four,response_button_text,989.1999999999534,,,4,1,0,1,0,,,,6,,BotoxJoL,,,,,,
