Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
4,1670838696781,12/12/2022 09:51:36,1670838696366,1,12/12/2022 10:51:36,89483,9,task-4t5w,,25869460,BLIND,7650215,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,321697,,,,,0,1,0,,,,,,,,,
1,1670843487334,12/12/2022 11:11:27,1670843486578,1,12/12/2022 12:11:26,89483,9,task-4t5w,,25872007,BLIND,7650844,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670843672517,12/12/2022 11:14:32,1670843671778,1,12/12/2022 12:14:31,89483,9,task-4t5w,,25872007,BLIND,7650844,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,184793.20000004768,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670843672570,12/12/2022 11:14:32,1670843671782,1,12/12/2022 12:14:31,89483,9,task-4t5w,,25872007,BLIND,7650844,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,185204,,,,,0,1,0,,,,,,,,,
1,1670843507120,12/12/2022 11:11:47,1670843503722,1,12/12/2022 12:11:43,89483,9,task-4t5w,,25872031,BLIND,7650808,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x714,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670843694404,12/12/2022 11:14:54,1670843690995,1,12/12/2022 12:14:50,89483,9,task-4t5w,,25872031,BLIND,7650808,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,185353.2999999998,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670843694494,12/12/2022 11:14:54,1670843691001,1,12/12/2022 12:14:51,89483,9,task-4t5w,,25872031,BLIND,7650808,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,187279,,,,,0,1,0,,,,,,,,,
1,1670843507264,12/12/2022 11:11:47,1670843507202,1,12/12/2022 12:11:47,89483,9,task-4t5w,,25872033,BLIND,7650827,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670843692810,12/12/2022 11:14:52,1670843692704,1,12/12/2022 12:14:52,89483,9,task-4t5w,,25872033,BLIND,7650827,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,184794.10000002384,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670843692868,12/12/2022 11:14:52,1670843692715,1,12/12/2022 12:14:52,89483,9,task-4t5w,,25872033,BLIND,7650827,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,185513,,,,,0,1,0,,,,,,,,,
