Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
14,1670833543077,12/12/2022 08:25:43,1670833539347,1,12/12/2022 09:25:39,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,8,Test,buttonA,response_text_area,96151.20000004768,,,"Je longen worden sterker
Je raakt minder snel buitenadem
Je hebt minder snel de kans dat je moeite krijgt met ademen
?",,0,1,0,,,,,,SportenNoSS,,5,,8
15,1670833543139,12/12/2022 08:25:43,1670833539350,1,12/12/2022 09:25:39,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,8,Test,buttonB,continue_button,96151.20000004768,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
16,1670833546538,12/12/2022 08:25:46,1670833542799,1,12/12/2022 09:25:42,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,9,Klaar4Experiment,advancementZone,continue_button,3445.100000023842,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
17,1670833546634,12/12/2022 08:25:46,1670833542802,1,12/12/2022 09:25:42,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,,,END TASK,,,,,302234,,,,,0,1,0,,,,,,,,,,
1,1670833445523,12/12/2022 08:24:05,1670833446171,1,12/12/2022 09:24:06,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670833451096,12/12/2022 08:24:11,1670833451787,1,12/12/2022 09:24:11,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,1,Intro,Zone2,continue_button,5497.199999988079,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1670833484677,12/12/2022 08:24:44,1670833485359,1,12/12/2022 09:24:45,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,2,Text,advancementZone,continue_button,33550.09999999404,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
4,1670833549790,12/12/2022 08:25:49,1670833550458,1,12/12/2022 09:25:50,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox4,response_text_area,65067.20000000298,,,Dit verminderd de kans op hart of longziektes,,0,1,0,,,,,,SportenNoSS,,5,,8
5,1670833549898,12/12/2022 08:25:49,1670833550461,1,12/12/2022 09:25:50,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox3,response_text_area,65067.20000000298,,,Je hebt meer zuurstof nodig en zuurstof voor je spieren,,0,1,0,,,,,,SportenNoSS,,5,,8
6,1670833549898,12/12/2022 08:25:49,1670833550461,1,12/12/2022 09:25:50,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox2,response_text_area,65067.20000000298,,,Je ademt sneller en je hart klopt sneller,,0,1,0,,,,,,SportenNoSS,,5,,8
7,1670833549898,12/12/2022 08:25:49,1670833550461,1,12/12/2022 09:25:50,89483,9,task-cobv,,25868501,BLIND,7649930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x648,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox1,response_text_area,65067.20000000298,,,Sporten is gezond,,0,1,0,,,,,,SportenNoSS,,5,,8
