Experiment Simple_Date Class_ID Participant_Private_ID Condition Phase Trial Zone_Name DiagramStudySS
1 2022-06-03 8hl 6563289 SSI 1 Metro DiagBox2 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Suez DiagBox2 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Suez DiagBox3 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Suez DiagBox4 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Suez DiagBox1 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Botox DiagBox3 Juist
1 2022-06-03 8hl 6563289 SSI 1 Botox DiagBox4 Juist
1 2022-06-03 8hl 6563289 SSI 1 Botox DiagBox2 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Botox DiagBox1 Juist
1 2022-06-03 8hl 6563289 SSI 2 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563289 SSI 2 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563289 SSI 2 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563289 SSI 2 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563289 SSI 2 Geld DiagBox2 NA
1 2022-06-03 8hl 6563289 SSI 2 Geld DiagBox3 NA
1 2022-06-03 8hl 6563289 SSI 2 Geld DiagBox4 NA
1 2022-06-03 8hl 6563289 SSI 2 Geld DiagBox1 NA
1 2022-06-03 8hl 6563289 SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563289 SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563289 SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563289 SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563290 SSI 1 Muziek DiagBox1 Juist
1 2022-06-03 8hl 6563290 SSI 1 Muziek DiagBox2 Juist
1 2022-06-03 8hl 6563290 SSI 1 Muziek DiagBox3 Juist
1 2022-06-03 8hl 6563290 SSI 1 Muziek DiagBox4 "Niet ingevuld"
1 2022-06-03 8hl 6563290 SSI 1 Metro DiagBox1 Juist
1 2022-06-03 8hl 6563290 SSI 1 Metro DiagBox3 Juist
1 2022-06-03 8hl 6563290 SSI 1 Metro DiagBox4 Juist
1 2022-06-03 8hl 6563290 SSI 1 Metro DiagBox2 Juist
1 2022-06-03 8hl 6563290 SSI 1 Beton DiagBox2 Juist
1 2022-06-03 8hl 6563290 SSI 1 Beton DiagBox3 Juist
1 2022-06-03 8hl 6563290 SSI 1 Beton DiagBox4 Juist
1 2022-06-03 8hl 6563290 SSI 1 Beton DiagBox1 Juist
1 2022-06-03 8hl 6563290 SSI 2 Botox DiagBox3 NA
1 2022-06-03 8hl 6563290 SSI 2 Botox DiagBox4 NA
1 2022-06-03 8hl 6563290 SSI 2 Botox DiagBox2 NA
