Experiment Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number Zone_Name Diagramming DiagramStudySS Correct_Points Element_Number Commission Word_Count
1 92J 6563283 49.25 No-SSI 1 Metro 1484 3 DiagBox3 "Dat is weer goed voor de natuur en natuurlijk voor de vissers." No_SSI 0 NA 1 12
1 92J 6563283 49.25 No-SSI 1 Metro 1484 3 DiagBox4 "Daarom kunnen er vaker metrowagons tot zinken worden gebracht." No_SSI 0 NA 1 9
1 92J 6563283 49.25 No-SSI 1 Metro 1484 3 DiagBox2 "Ook kwam er veel nieuw leven, zoals vissen en plankton." No_SSI 2 3&4 0 10
1 92J 6563283 49.25 No-SSI 2 Botox 829 4 DiagBox3 "Mensen zien er dan vaak jonger uit." No_SSI 1 3 0 7
1 92J 6563283 49.25 No-SSI 2 Botox 829 4 DiagBox4 "En je krijgt er mooiere vormen door" No_SSI 0 NA 1 7
1 92J 6563283 49.25 No-SSI 2 Botox 829 4 DiagBox2 "Daar krijg je een gladde huid van en dat willen veel mensen graag." No_SSI 1 2 0 13
1 92J 6563283 49.25 No-SSI 2 Botox 829 4 DiagBox1 "Doordat het wordt geblokkeert, liggen je zenuwen stil" No_SSI 0 1 1 8
1 92J 6563283 49.25 No-SSI 2 Beton 847 5 DiagBox2 "Maar dan kan er teveel warmte op komen waardoor het beton krimpt." No_SSI 1 1&3 0 12
1 92J 6563283 49.25 No-SSI 2 Beton 847 5 DiagBox3 "De lift blijft evengroot, want dat is niet van beton." No_SSI 1 NA 0 10
1 92J 6563283 49.25 No-SSI 2 Beton 847 5 DiagBox4 "Dat zorgt voor een onveilige situatie." No_SSI 1 NA 0 6
1 92J 6563283 49.25 No-SSI 2 Beton 847 5 DiagBox1 "Een gebouw wordt gebouwt met beton en is de goede maat." No_SSI 1 NA 0 11
1 92J 6563283 49.25 No-SSI 2 Suez 917 6 DiagBox2 "Dat was erg lastig, want het koste tijd en geld." No_SSI 0 2 0 10
1 92J 6563283 49.25 No-SSI 2 Suez 917 6 DiagBox3 "Daarom zocht men naar een nieuwe oplossing." No_SSI 1 3 0 7
