Experiment Participant_Private_ID Consent Age Gender
1 6581317 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Vrouw/meisje
1 6581315 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581314 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581313 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581311 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581310 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6581309 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581308 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Man/jonge
1 6581306 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581305 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581303 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 "Dat zeg ik liever niet."
1 6581302 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6581301 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Vrouw/meisje
1 6563292 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
1 6563291 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
1 6563290 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563289 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6563288 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563287 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563280 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563275 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
1 6563274 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
1 6563260 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7649923 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7649930 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7649931 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7649932 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7650198 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7650199 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7650206 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7650209 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7650222 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7650224 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7650235 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7657600 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7657605 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
2 7657606 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7657611 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7657612 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7657614 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7657615 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7759620 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7759621 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7759622 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7759623 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
