Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
3,1654592562451,07/06/2022 09:02:42,1654592563923,2,07/06/2022 11:02:43,86110,10,task-qcms,,22325601,BLIND,6581319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1366x768,1366x657,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184781,,,,,0,1,0,,,,,,,,,
1,1654592377613,07/06/2022 08:59:37,1654592378145,2,07/06/2022 10:59:38,86110,10,task-qcms,,22325600,BLIND,6581326,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x625,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654592562198,07/06/2022 09:02:42,1654592562684,2,07/06/2022 11:02:42,86110,10,task-qcms,,22325600,BLIND,6581326,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x625,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,183762.59999999404,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654592562283,07/06/2022 09:02:42,1654592562691,2,07/06/2022 11:02:42,86110,10,task-qcms,,22325600,BLIND,6581326,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x625,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184547,,,,,0,1,0,,,,,,,,,
1,1654592367701,07/06/2022 08:59:27,1654592371166,2,07/06/2022 10:59:31,86110,10,task-qcms,,22325593,BLIND,6581325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654592552153,07/06/2022 09:02:32,1654592555610,2,07/06/2022 11:02:35,86110,10,task-qcms,,22325593,BLIND,6581325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,183956.4000005722,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654592552381,07/06/2022 09:02:32,1654592555616,2,07/06/2022 11:02:35,86110,10,task-qcms,,22325593,BLIND,6581325,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.5005.63,1366x768,1366x657,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184450,,,,,0,1,0,,,,,,,,,
1,1654592364327,07/06/2022 08:59:24,1654592364887,2,07/06/2022 10:59:24,86110,10,task-qcms,,22325589,BLIND,6581311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1536x722,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654592550715,07/06/2022 09:02:30,1654592551236,2,07/06/2022 11:02:31,86110,10,task-qcms,,22325589,BLIND,6581311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x722,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,184432.59999999963,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654592550777,07/06/2022 09:02:30,1654592551245,2,07/06/2022 11:02:31,86110,10,task-qcms,,22325589,BLIND,6581311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x722,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,186358,,,,,0,1,0,,,,,,,,,
